fecha,local,visitante,h1,a1,hf,af,fase
2018-07-20,Atlas,Querétaro,0,0,0,0,regular
2018-07-20,Veracruz,Pumas,0,2,0,2,regular
2018-07-21,Cruz Azul,Puebla,0,0,3,0,regular
2018-07-21,Pachuca,Monterrey,0,0,0,1,regular
2018-07-21,Tigres,León,1,0,2,0,regular
2018-07-21,Tijuana,Chivas,0,0,2,1,regular
2018-07-22,Santos,Lobos BUAP,0,1,2,1,regular
2018-07-22,Necaxa,América,1,0,2,1,regular
2018-07-22,Toluca,Morelia,0,0,2,0,regular
2018-07-27,Morelia,Santos,0,0,3,1,regular
2018-07-27,Puebla,Toluca,2,1,2,1,regular
2018-07-28,América,Atlas,2,0,3,0,regular
2018-07-28,Chivas,Cruz Azul,0,0,0,1,regular
2018-07-28,Querétaro,Pachuca,0,0,1,0,regular
2018-07-29,Lobos BUAP,Veracruz,1,0,2,0,regular
2018-07-29,Tigres,Tijuana,0,0,1,0,regular
2018-07-29,León,Monterrey,0,0,0,2,regular
2018-07-29,Pumas,Necaxa,1,1,5,3,regular
2018-08-03,Veracruz,Morelia,1,1,2,2,regular
2018-08-03,Atlas,Pumas,0,2,0,3,regular
2018-08-04,Pachuca,América,0,1,1,3,regular
2018-08-04,Cruz Azul,Tigres,0,0,1,0,regular
2018-08-04,Monterrey,Querétaro,1,1,2,1,regular
2018-08-04,Necaxa,Lobos BUAP,0,0,1,0,regular
2018-08-05,Toluca,Chivas,1,1,2,2,regular
2018-08-05,Santos,Puebla,1,0,2,0,regular
2018-08-05,Tijuana,León,0,0,1,1,regular
2018-08-10,Morelia,Necaxa,1,0,2,1,regular
2018-08-10,Puebla,Veracruz,0,0,1,2,regular
2018-08-11,Lobos BUAP,Atlas,0,0,0,0,regular
2018-08-11,León,Querétaro,2,0,4,0,regular
2018-08-11,Tigres,Toluca,1,0,1,2,regular
2018-08-11,América,Monterrey,1,0,3,0,regular
2018-08-12,Chivas,Santos,1,1,1,2,regular
2018-08-12,Tijuana,Cruz Azul,0,0,1,1,regular
2018-08-12,Pumas,Pachuca,0,0,0,0,regular
2018-08-17,Atlas,Morelia,0,1,0,1,regular
2018-08-17,Veracruz,Chivas,0,2,0,2,regular
2018-08-18,Cruz Azul,León,2,0,3,0,regular
2018-08-18,Pachuca,Lobos BUAP,0,0,3,0,regular
2018-08-18,Necaxa,Puebla,0,1,2,2,regular
2018-08-18,Querétaro,América,0,1,1,1,regular
2018-08-18,Monterrey,Pumas,1,0,1,0,regular
2018-08-19,Santos,Tigres,1,0,3,1,regular
2018-08-19,Toluca,Tijuana,2,0,3,0,regular
2018-08-21,Pumas,Querétaro,0,1,0,1,regular
2018-08-21,Puebla,Atlas,1,0,2,0,regular
2018-08-21,Chivas,Necaxa,1,0,1,0,regular
2018-08-21,Morelia,Pachuca,1,0,1,1,regular
2018-08-22,Cruz Azul,Toluca,1,0,1,0,regular
2018-08-22,León,América,1,0,2,0,regular
2018-08-22,Tigres,Veracruz,1,0,4,0,regular
2018-08-22,Lobos BUAP,Monterrey,0,1,1,2,regular
2018-08-22,Tijuana,Santos,0,0,2,2,regular
2018-08-24,Atlas,Chivas,0,0,0,1,regular
2018-08-25,Pachuca,Puebla,0,0,2,0,regular
2018-08-25,América,Pumas,1,1,2,2,regular
2018-08-25,Veracruz,Tijuana,1,0,1,0,regular
2018-08-25,Necaxa,Tigres,0,0,1,1,regular
2018-08-25,Monterrey,Morelia,2,1,2,2,regular
2018-08-26,Toluca,León,1,2,1,2,regular
2018-08-26,Santos,Cruz Azul,0,0,1,1,regular
2018-08-26,Querétaro,Lobos BUAP,1,0,2,0,regular
2018-08-31,Morelia,Querétaro,0,1,1,4,regular
2018-08-31,Puebla,Monterrey,0,1,2,1,regular
2018-08-31,Tijuana,Necaxa,0,0,1,0,regular
2018-09-01,León,Pumas,1,1,1,2,regular
2018-09-01,Tigres,Atlas,0,1,3,1,regular
2018-09-01,Chivas,Pachuca,1,2,1,3,regular
2018-09-01,Cruz Azul,Veracruz,1,0,4,1,regular
2018-09-02,Lobos BUAP,América,0,1,0,2,regular
2018-09-02,Toluca,Santos,1,1,2,1,regular
2018-09-14,Veracruz,Toluca,0,2,2,3,regular
2018-09-15,Querétaro,Puebla,0,0,0,1,regular
2018-09-15,Pachuca,Tigres,1,0,1,1,regular
2018-09-15,América,Morelia,1,0,2,1,regular
2018-09-15,Necaxa,Cruz Azul,1,0,2,0,regular
2018-09-15,Monterrey,Chivas,0,1,2,4,regular
2018-09-16,Santos,León,1,0,3,0,regular
2018-09-16,Atlas,Tijuana,0,0,0,1,regular
2018-09-16,Pumas,Lobos BUAP,1,0,4,2,regular
2018-09-21,Puebla,América,1,2,2,3,regular
2018-09-21,Morelia,Pumas,0,0,0,0,regular
2018-09-22,Toluca,Necaxa,0,1,3,2,regular
2018-09-22,León,Lobos BUAP,0,0,0,1,regular
2018-09-22,Cruz Azul,Atlas,1,0,2,0,regular
2018-09-22,Tijuana,Pachuca,0,0,1,0,regular
2018-09-23,Santos,Veracruz,0,0,1,1,regular
2018-09-23,Tigres,Monterrey,0,0,0,0,regular
2018-09-23,Chivas,Querétaro,0,0,1,1,regular
2018-09-28,Veracruz,León,0,1,0,4,regular
2018-09-28,Atlas,Toluca,1,0,2,0,regular
2018-09-29,Pachuca,Cruz Azul,3,1,3,1,regular
