fecha,local,visitante,gl,gv,fase
2010-07-23,Tecos,Cruz Azul,0,3,regular
2010-07-24,Chiapas,Necaxa,1,1,regular
2010-07-24,Pachuca,América,3,0,regular
2010-07-24,Tigres,Querétaro,0,1,regular
2010-07-24,Chivas,Puebla,0,0,regular
2010-07-24,San Luis,Monterrey,1,1,regular
2010-07-24,Atlante,Santos,1,4,regular
2010-07-25,Morelia,Atlas,1,0,regular
2010-07-25,Pumas,Toluca,2,1,regular
2010-07-30,Necaxa,Tigres,0,2,regular
2010-07-31,Cruz Azul,Atlante,2,0,regular
2010-07-31,Querétaro,Atlas,2,1,regular
2010-07-31,Monterrey,Tecos,3,2,regular
2010-07-31,Santos,Pumas,4,0,regular
2010-08-01,Toluca,Pachuca,1,1,regular
2010-08-01,Puebla,San Luis,2,1,regular
2010-08-01,América,Chiapas,3,0,regular
2010-08-07,Chiapas,Toluca,1,1,regular
2010-08-07,Pachuca,Santos,0,3,regular
2010-08-07,Tigres,América,1,1,regular
2010-08-07,Atlas,Necaxa,0,1,regular
2010-08-07,San Luis,Chivas,0,1,regular
2010-08-07,Atlante,Monterrey,1,2,regular
2010-08-08,Morelia,Querétaro,6,0,regular
2010-08-08,Pumas,Cruz Azul,2,0,regular
2010-08-08,Tecos,Puebla,1,3,regular
2010-08-13,Necaxa,Querétaro,1,1,regular
2010-08-14,Cruz Azul,Pachuca,4,1,regular
2010-08-14,Monterrey,Pumas,5,2,regular
2010-08-14,Santos,Chiapas,1,0,regular
2010-08-14,San Luis,Morelia,1,0,regular
2010-08-15,Toluca,Tigres,1,1,regular
2010-08-15,Puebla,Atlante,1,1,regular
2010-08-15,América,Atlas,1,1,regular
2010-08-20,Tecos,San Luis,3,2,regular
2010-08-21,Chiapas,Cruz Azul,2,3,regular
2010-08-21,Pachuca,Monterrey,2,2,regular
2010-08-21,Tigres,Santos,1,0,regular
2010-08-21,Atlas,Toluca,0,1,regular
2010-08-21,Atlante,Chivas,2,1,regular
2010-08-22,Morelia,Necaxa,1,0,regular
2010-08-22,Pumas,Puebla,4,1,regular
2010-08-22,Querétaro,América,0,1,regular
2010-08-27,Tecos,Morelia,1,1,regular
2010-08-28,Cruz Azul,Tigres,3,2,regular
2010-08-28,Monterrey,Chiapas,1,1,regular
2010-08-28,Santos,Atlas,3,1,regular
2010-08-28,Chivas,Pumas,0,0,regular
2010-08-28,San Luis,Atlante,2,1,regular
2010-08-29,Toluca,Querétaro,2,0,regular
2010-08-29,Puebla,Pachuca,3,1,regular
2010-08-29,América,Necaxa,1,1,regular
2010-09-05,Chivas,Tecos,3,0,regular
