fecha,local,visitante,gl,gv,fase,competencia
2026-08-04,FC Cincinnati,Pachuca,3,1,regular,leagues_cup
2026-08-04,Columbus Crew,Atlas,3,1,regular,leagues_cup
2026-08-04,Charlotte FC,Pumas,3,0,regular,leagues_cup
2026-08-04,Minnesota United,Juárez,1,2,regular,leagues_cup
2026-08-04,Tigres,Real Salt Lake,1,1,regular,leagues_cup
2026-08-04,Vancouver Whitecaps,Atlante,0,1,regular,leagues_cup
2026-08-05,Inter Miami,Atlético San Luis,4,2,regular,leagues_cup
2026-08-05,Monterrey,Orlando City,1,2,regular,leagues_cup
2026-08-05,Nashville SC,León,0,1,regular,leagues_cup
2026-08-05,FC Dallas,Querétaro,2,0,regular,leagues_cup
2026-08-05,Toluca,Seattle Sounders,3,0,regular,leagues_cup
2026-08-05,Los Angeles FC,Chivas,1,1,regular,leagues_cup
2026-08-06,New York City FC,Santos,2,0,regular,leagues_cup
2026-08-06,Cruz Azul,Philadelphia Union,1,0,regular,leagues_cup
2026-08-06,Chicago Fire,Necaxa,2,0,regular,leagues_cup
2026-08-06,Austin FC,Tijuana,2,0,regular,leagues_cup
2026-08-06,América,San Diego FC,3,1,regular,leagues_cup
2026-08-06,Portland Timbers,Puebla,5,2,regular,leagues_cup
2026-08-07,Charlotte FC,Atlas,2,0,regular,leagues_cup
2026-08-07,Columbus Crew,Pachuca,2,1,regular,leagues_cup
2026-08-07,FC Cincinnati,Pumas,2,0,regular,leagues_cup
2026-08-07,Tigres,Minnesota United,0,0,regular,leagues_cup
2026-08-07,Vancouver Whitecaps,Juárez,1,3,regular,leagues_cup
2026-08-08,Orlando City,León,1,2,regular,leagues_cup
2026-08-08,Inter Miami,Monterrey,1,2,regular,leagues_cup
2026-08-08,Chivas,FC Dallas,0,1,regular,leagues_cup
2026-08-08,Real Salt Lake,Atlante,4,0,regular,leagues_cup
2026-08-08,Toluca,Los Angeles FC,0,1,regular,leagues_cup
2026-08-08,Seattle Sounders,Querétaro,3,0,regular,leagues_cup
2026-08-08,Cruz Azul,New York City FC,2,1,regular,leagues_cup
2026-08-08,Philadelphia Union,Necaxa,3,1,regular,leagues_cup
2026-08-09,Chicago Fire,Santos,3,1,regular,leagues_cup
2026-08-09,Nashville SC,Atlético San Luis,4,1,regular,leagues_cup
2026-08-09,Austin FC,Puebla,3,0,regular,leagues_cup
2026-08-09,América,Portland Timbers,3,1,regular,leagues_cup
2026-08-09,San Diego FC,Tijuana,1,0,regular,leagues_cup
2026-08-11,Columbus Crew,Pumas,1,1,regular,leagues_cup
2026-08-11,Charlotte FC,Pachuca,0,1,regular,leagues_cup
2026-08-11,FC Cincinnati,Atlas,1,2,regular,leagues_cup
2026-08-11,Minnesota United,Atlante,3,1,regular,leagues_cup
2026-08-11,Real Salt Lake,Juárez,3,0,regular,leagues_cup
2026-08-11,Tigres,Vancouver Whitecaps,1,1,regular,leagues_cup
2026-08-11,Orlando City,Atlético San Luis,2,2,regular,leagues_cup
2026-08-11,Inter Miami,León,2,3,regular,leagues_cup
2026-08-12,Monterrey,Nashville SC,2,1,regular,leagues_cup
2026-08-12,Toluca,FC Dallas,3,1,regular,leagues_cup
2026-08-12,Los Angeles FC,Querétaro,1,1,regular,leagues_cup
2026-08-12,San Diego FC,Puebla,3,2,regular,leagues_cup
2026-08-12,Seattle Sounders,Chivas,1,2,regular,leagues_cup
2026-08-12,Philadelphia Union,Santos,0,2,regular,leagues_cup
2026-08-12,New York City FC,Necaxa,1,2,regular,leagues_cup
2026-08-13,Cruz Azul,Chicago Fire,1,2,regular,leagues_cup
2026-08-13,América,Austin FC,1,1,regular,leagues_cup
2026-08-13,Portland Timbers,Tijuana,3,1,regular,leagues_cup
