Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04001,199801,336,0.0
LN04001,200006,312,243.123019
LN04001,200306,271,0.0
LN04001,200603,238,0.0
LN04001,200807,213,0.0
LN04001,200807,214,70971.3672
LN04001,200904,201,1352.94104
LN04001,200904,202,1335.172538
LN04001,200904,206,2338.470724
LN04001,201004,189,-41.95864
LN04001,201006,192,9.2158062
LN04001,201104,177,-25.57136
LN04001,201201,168,0.0
LN04001,201201,174,0.0
LN04001,201204,165,-27.192079999999997
LN04001,201304,153,-86.61848
LN04001,201304,156,18039.881515999998
LN04001,201306,153,0.0
LN04001,201404,141,-100.48463999999998
LN04001,201406,141,0.0
LN04001,201504,129,-289.02840000000003
LN04001,201601,125,-78190.845925
LN04001,201604,117,-375.64688
LN04001,201604,118,-512.743067
LN04001,201604,122,-512.743067
LN04001,201606,115,0.0
LN04001,201607,114,0.0
LN04001,201607,117,0.0
LN04001,201609,117,0.0
LN04001,201610,111,0.0
LN04001,201701,110,0.0
LN04001,201701,111,-54521.29
LN04001,201701,113,-59678.0095834
LN04001,201701,114,-59678.0095834
LN04001,201702,113,1106.4122952
LN04001,201704,105,0.0
LN04001,201704,106,6.097034999999995
LN04001,201704,110,-1469445.997265
LN04001,201704,111,-1468337.110983
LN04001,201705,104,24.49088
LN04001,201706,103,-13.0
LN04001,201706,106,-13.0
LN04001,201706,109,465953.71968
LN04001,201707,105,0.0
LN04001,201707,107,0.0
LN04001,201711,102,48052.3460428
LN04001,201801,98,0.0
LN04001,201804,93,0.1800799999999967
LN04001,201804,94,147.379925
LN04001,201804,95,147.379925
LN04001,201804,96,147.379925
LN04001,201804,99,-4765.701996999999
LN04001,201806,94,0.0
LN04001,201807,93,375430.3
LN04001,201807,94,375430.3
LN04001,201812,87,0.0
LN04001,201901,84,0.0
LN04001,201901,85,-8.14
LN04001,201901,87,-8.14
LN04001,201901,88,504.32000000000005
LN04001,201901,90,504.32000000000005
LN04001,201903,82,0.0
LN04001,201903,85,0.0
LN04001,201903,87,0.0
LN04001,201904,81,-198.80832000000004
LN04001,201904,82,-1159.8752369999997
LN04001,201904,83,13933.286065
LN04001,201904,84,13996.562021
LN04001,201904,85,13996.562021
LN04001,201904,87,12831.155261
LN04001,201906,79,0.0
LN04001,201906,84,9.7659592
LN04001,201907,78,171211.7
LN04001,201907,79,163812.1618436
LN04001,201907,80,163738.4097396
LN04001,201907,81,165605.2526796
LN04001,201907,82,165605.2526796
LN04001,201912,75,92.707084
LN04001,201912,78,92.707084
LN04001,202001,72,-659.8114472
LN04001,202001,73,-5549.0114472
LN04001,202001,76,-5549.0114472
LN04001,202001,77,-709018.7214471999
LN04001,202001,78,-733174.4888311999
LN04001,202003,73,0.0
LN04001,202004,69,2117.0204799999997
LN04001,202004,70,60433.244044
LN04001,202004,71,146527.624794
LN04001,202004,72,267784.97047
LN04001,202004,74,267784.97047
LN04001,202004,75,268082.97162799997
LN04001,202005,69,1.045206
LN04001,202005,73,1.045206
LN04001,202006,67,0.0
LN04001,202006,68,89334.73
LN04001,202006,70,97083.25620399999
LN04001,202006,71,96648.906204
LN04001,202006,72,97952.18811999999
LN04001,202007,66,0.0
LN04001,202007,67,0.0
LN04001,202007,68,0.0
LN04001,202007,69,-128.70293600000002
LN04001,202007,71,12664.7987776
LN04001,202007,72,12664.7987776
LN04001,202010,66,0.0
LN04001,202011,64,-1855.431
LN04001,202012,65,0.0
LN04001,202101,60,13706.1852928
LN04001,202101,61,13614.965292800001
LN04001,202101,63,39086.7650768
LN04001,202101,64,302816.3830608
LN04001,202101,65,302816.3830608
LN04001,202101,66,1141786.6227988
LN04001,202103,58,0.0
LN04001,202103,61,0.0
LN04001,202104,57,1182.04512
LN04001,202104,58,10757.4414756
LN04001,202104,59,14350.6164116
LN04001,202104,60,12354.0447674
LN04001,202104,61,12354.0447674
LN04001,202104,62,-41716.861056199996
LN04001,202104,63,-40344.270872199995
LN04001,202105,56,46685.740000000005
LN04001,202105,57,45515.980285000005
LN04001,202105,61,45343.44629000001
LN04001,202105,62,86595.69584600002
LN04001,202106,55,238.06576
LN04001,202106,56,10669.85576
LN04001,202106,57,10669.85576
LN04001,202106,58,28586.810168000004
LN04001,202106,60,36055.53804
LN04001,202107,54,16875.8293625
LN04001,202107,55,16875.8293625
LN04001,202107,56,15289.844147900001
LN04001,202107,57,15289.844147900001
LN04001,202107,59,-55771.0491915
LN04001,202107,60,-55771.0491915
LN04001,202112,50,-818.7447
LN04001,202112,51,894257.4711
LN04001,202112,53,894257.4711
LN04001,202201,48,179453.98255140003
LN04001,202201,49,130465.45842240003
LN04001,202201,50,189677.19726440002
LN04001,202201,51,242660.79360020004
LN04001,202201,52,242660.79360020004
LN04001,202201,53,200242.04360020004
LN04001,202201,54,230758.83912910003
LN04001,202203,46,0.0
LN04001,202203,49,541.699544
LN04001,202203,51,541.699544
LN04001,202204,45,566.8025096
LN04001,202204,46,369843.3083396
LN04001,202204,47,355366.7436016
LN04001,202204,48,426793.70980199997
LN04001,202204,49,426793.70980199997
LN04001,202204,50,427845.02734
LN04001,202204,51,260007.4636174
LN04001,202205,44,-72850.28352
LN04001,202205,46,24057.224048000004
LN04001,202205,47,24057.224048000004
LN04001,202205,49,23911.914010000004
LN04001,202205,50,17451.955848000005
LN04001,202206,43,18189.46
LN04001,202206,44,222420.71992499998
LN04001,202206,45,222420.71992499998
LN04001,202206,46,224481.042413
LN04001,202206,47,243822.65567699997
LN04001,202206,48,243822.65567699997
LN04001,202206,49,243822.65567699997
LN04001,202207,42,29563.978913200004
LN04001,202207,43,373585.69476820005
LN04001,202207,44,1682423.8202982
LN04001,202207,45,1710653.2906102
LN04001,202207,46,1710382.9919286
LN04001,202207,47,2495415.1848312
LN04001,202207,48,3268194.2963102004
LN04001,202212,38,373.835346
