Periodo,Concepto,TOTAL,Vida,Acc Per.,GMM,Salud,Resp. Civil,MyT,Incendio,Terremoto,HyORH,Agropecuario,Autos,Crédito,Diversos,Fianzas
202512,PRIMA EMITIDA,3187701933.019999,170677604.57999998,39220316.26,24052057.65,104696535.04,94505025.5,371442300.11,932016044.37,552312379.1,333578499.45,52567199.69,66864638.46,32228268.99,252616194.87,160924868.95
202512,(-) PRIMA CEDIDA / RETROCEDIDA,887814635.8700002,15889898.58,34605706.800000004,228006.79,998820.42,38920832.7,27170821.94,293436586.75,221930443.36,145581853.26000002,3431705.09,3347123.5300000003,19469892.54,50573926.42,32229017.69
202512,PRIMA RETENIDA,2299887297.1499987,154787705.99999997,4614609.459999993,23824050.860000003,103697714.62,55584192.8,344271478.17,638579457.62,330381935.74,187996646.19,49135494.6,63517514.93,12758376.450000005,202042268.45,128695851.26
202512,PRIMA DEVENGADA,3113987768.129999,136562940.27999997,18419897.78,-2956287.6900000013,113503647.17,35034574.31,400477805.81,1073079922.97,552312379.1,333578499.45,31896556.879999995,70382328.48,13914844.340000004,229751151.44,108029507.81
202512,PRIMA CEDIDA DEVENGADA,843762989.0900003,10046473.87,16719145.280000005,5691.549999999988,841024.3799999999,14556704.789999992,40665676.38,308120692.75,225550816.55,141643669.33,2844038.39,5177270.51,7039032.039999999,48412563.25,22140190.020000003
202512,PRIMA A RETENCIÓN DEVENGADA,2270224779.039999,126516466.40999997,1700752.4999999923,-2961979.240000001,112662622.79,20477869.52000001,359812129.43,764959230.22,326761562.55,191934830.12,29052518.489999995,65205057.970000006,6875812.3000000045,181338588.19,85889317.78999999
202510,PRIMA EMITIDA,17198891489.149994,1283118071.61,104935232.94,125842976.51,520590976.83,518471448.34,1821362706.07,5037692469.780001,2748483358.29,1900963325.72,202310508.84,427505079.1600001,111427577.91,1158202326.72,1237985430.43
202510,(-) PRIMA CEDIDA / RETROCEDIDA,4999190005.789997,397438187.92,82663820.75,1170400.8199999998,5016413.57,215604642.12,205855959.45,1680884283.2999997,1106105293.88,640899825.36,21713203.9,34546475.29,70409667.59000002,233248293.4,303633538.44
202510,PRIMA RETENIDA,12199701483.359997,885679883.69,22271412.19,124672575.69,515574563.2600001,302866806.22,1615506746.6199996,3356808186.480001,1642378064.41,1260063500.3599997,180597304.94,392958603.87000006,41017910.31999998,924954033.32,934351891.99
202510,PRIMA DEVENGADA,16285469970.059994,927256039.48,94487594.26,117231230.91,557348055.1,441602336.24,1595981779.3199997,4736868083.080001,2748483358.29,1900963325.72,186108806.63,528060164.5200001,113755642.91,1342474798.67,994848754.93
202510,PRIMA CEDIDA DEVENGADA,4566376500.809998,179437524.65,67449626.37,1022523.0599999998,4771699.69,205454302.21,185524281.4,1459734580.9799998,1139405406.86,682956229.11,14881980.68,37068047.3,67577587.01000002,277867557.09000003,243225154.4
202510,PRIMA A RETENCIÓN DEVENGADA,11719093469.249996,747818514.8300002,27037967.89,116208707.85,552576355.41,236148034.03,1410457497.9199996,3277133502.1000013,1609077951.43,1218007096.6099997,171226825.95,490992117.2200001,46178055.899999976,1064607241.58,751623600.5300001
202412,PRIMA EMITIDA,16271674576.079994,1018870213.49,64538332.16,117957397.9,568547694.0,362977364.04,1777745092.2799995,4780520607.83,2411119700.37,1708814196.74,278968467.35,445443236.93,98575806.36,1381737703.88,1255858762.7499998
