Periodo,TC
202201,20.6134
202202,20.5212
202203,19.8911
202204,20.3453
202205,19.6855
202206,20.1353
202207,20.3626
202208,20.1432
202209,20.1271
202210,19.8103
202211,19.3081
202212,19.5089
202301,18.839
202302,18.3253
202303,18.0201
202304,17.9882
202305,17.6886
202306,17.1156
202307,16.7442
202308,17.0552
202309,17.4279
202310,18.0255
202311,17.3873
202312,16.9666
202401,17.1336
202402,17.0543
202403,16.5625
202404,17.1268
202405,16.9682
202406,18.2862
202407,18.632
202408,19.7027
202409,19.6921
202410,20.0109
202411,20.3611
202412,20.8829
202501,20.6871
202502,20.5782
202503,20.4604
202504,19.6136
202505,19.3957
202506,18.7654
202507,18.868
202508,18.6615
202509,18.3147
202510,18.5796
202511,18.2953
202512,18.008
202601,17.4201
202602,17.2318
202603,17.9252
202604,17.4688
202605,17.3401
202606,17.434371428571428
202607,17.528642857142856
202608,17.622914285714284
202609,17.717185714285712
202610,17.81145714285714
202611,17.90572857142857
202612,18.0
