bloque,ramo,mes,real,leg,mod
NETO,10,202601,28344223.171508774,33567761.089300916,33526785.52846149
NETO,10,202602,28194033.143954784,35329952.1671005,35592539.40324966
NETO,10,202603,30491871.912168343,37162686.024434686,37538457.46113528
NETO,10,202604,29381772.125160284,39918498.526500866,41061729.55417423
NETO,10,202605,30023174.171429228,43198452.060081884,44957998.87607601
NETO,10,202606,28457408.4663916,49544241.13519686,46744812.739664644
NETO,10,202607,29193402.99064125,52272029.720106006,50541859.790877804
NETO,10,202608,0.0,0.0,60302858.88511224
NETO,10,202609,0.0,0.0,0.0
NETO,10,202610,0.0,0.0,0.0
NETO,10,202611,0.0,0.0,0.0
NETO,10,202612,0.0,0.0,0.0
NETO,30,202601,629738.2483453022,796752.4986816414,751215.2014729439
NETO,30,202602,619230.1378846089,823974.4789945638,774534.9761300276
NETO,30,202603,363675.5779572892,639989.8159518791,598478.1123207804
NETO,30,202604,35680.930573365185,188690.91091803007,154694.53959100327
NETO,30,202605,86194.38238533796,301624.9196110437,257062.43917346696
NETO,30,202606,-21368.387756734854,230606.64799269888,179628.64268808725
NETO,30,202607,-59801.97162932216,159202.15970860384,120019.49203463105
NETO,30,202608,0.0,0.0,1840280.952903533
NETO,30,202609,0.0,0.0,0.0
NETO,30,202610,0.0,0.0,0.0
NETO,30,202611,0.0,0.0,0.0
NETO,30,202612,0.0,0.0,0.0
NETO,34,202601,2060810.3064850373,3069205.6167623736,2994165.987446957
NETO,34,202602,1953450.7288849684,2074268.4879492915,2004164.7045966713
NETO,34,202603,2962066.717247227,5160011.195745639,5082051.8868434485
NETO,34,202604,3221334.361833669,5779895.512235914,5695045.63193908
NETO,34,202605,3360686.855323788,6110283.529650129,6021253.625305594
NETO,34,202606,3626698.97820397,6523176.377310436,6431189.296535118
NETO,34,202607,3256952.6035321904,7729758.283907433,7627664.842481237
NETO,34,202608,0.0,0.0,3064074.225895615
NETO,34,202609,0.0,0.0,0.0
NETO,34,202610,0.0,0.0,0.0
NETO,34,202611,0.0,0.0,0.0
NETO,34,202612,0.0,0.0,0.0
NETO,37,202601,2064991.0545863686,8193176.0571908625,8305608.043240819
NETO,37,202602,2058890.6550679558,8598888.66462563,8713233.172590142
NETO,37,202603,1991269.7559859862,8631263.139775096,8741268.86717725
NETO,37,202604,2024929.5503984245,9170011.11917463,9282996.435169144
NETO,37,202605,1973986.5687049094,9605151.907324456,9711376.821512869
NETO,37,202606,1865587.3452733364,9795454.962242387,9751683.51646095
NETO,37,202607,1779313.8787693342,10154952.868882535,10134950.693875521
NETO,37,202608,0.0,0.0,10673580.618731475
NETO,37,202609,0.0,0.0,0.0
NETO,37,202610,0.0,0.0,0.0
NETO,37,202611,0.0,0.0,0.0
NETO,37,202612,0.0,0.0,0.0
