Grupo,PERIODO,BEL,BRUTO,NETO,IRR,PND_real,IS_eff,g,mr,c,PE,TC,Año,ces,PR,dBRUTO_real,dNETO_real,PD_tom_real,PD_ret_real,PND_NT_reg_m,BRUTO_NT_reg_m,NETO_NT_reg_m,dBRUTO_NT_reg_m,dNETO_NT_reg_m,PD_tom_NT_reg_m,PD_ret_NT_reg_m,PND_NT_reg_t,BRUTO_NT_reg_t,NETO_NT_reg_t,dBRUTO_NT_reg_t,dNETO_NT_reg_t,PD_tom_NT_reg_t,PD_ret_NT_reg_t,PND_NT_reg_susc,BRUTO_NT_reg_susc,NETO_NT_reg_susc,dBRUTO_NT_reg_susc,dNETO_NT_reg_susc,PD_tom_NT_reg_susc,PD_ret_NT_reg_susc,PND_MEC_pub,BRUTO_MEC_pub,NETO_MEC_pub,dBRUTO_MEC_pub,dNETO_MEC_pub,PD_tom_MEC_pub,PD_ret_MEC_pub,PND_MEC_prop,BRUTO_MEC_prop,NETO_MEC_prop,dBRUTO_MEC_prop,dNETO_MEC_prop,PD_tom_MEC_prop,PD_ret_MEC_prop,PND_MEC_reg,BRUTO_MEC_reg,NETO_MEC_reg,dBRUTO_MEC_reg,dNETO_MEC_reg,PD_tom_MEC_reg,PD_ret_MEC_reg,PND_CAL,BRUTO_CAL,NETO_CAL,dBRUTO_CAL,dNETO_CAL,PD_tom_CAL,PD_ret_CAL
Agro,202201,10780787.323779678,13200874.480192496,12186803.64956776,1014070.8306247392,13289925.201898025,0.8112,0.16703648913726252,0.05744499665132378,0.09406278040454026,890385.3380577683,20.6134,2022,0.050161072968867265,845722.654145043,,,,,11600362.486766662,11522632.880632777,10637481.982957032,,,,,10007818.538167955,9940759.96184169,9177126.103594523,,,,,6694361.4560346445,6649505.092288337,6138700.360200471,,,,,2122009.5927775274,2107790.8155585327,1945873.5739148967,,,,,1488067.5006844264,1478096.5277203673,1364551.4306998646,,,,,12375386.755735207,12292464.007469786,11348175.869196555,,,,,9656071.892883684,9591370.236716429,8854575.958627466,,,,
Agro,202202,9792269.01253338,11954429.857903048,11053627.165078066,900802.6928249812,12071337.54010525,0.8112000000000001,0.16703648917055974,0.05376635464452137,0.09199121180923649,568489.584921447,20.5212,2022,0.050161072968867265,539973.5373701612,-1246444.622289447,-1133176.4844896942,1814934.2072108942,1673150.0218598554,10299424.480824824,10199677.303673206,9431100.55929417,-1322955.5769595709,-1206381.4236628618,1891445.161881018,1746354.961033023,8755180.908957226,8670389.318636222,8017049.080841018,-1270370.6432054676,-1160077.022753505,1838860.2281269147,1700050.5601236662,5810700.815737313,5754425.729229179,5320812.227442297,-895079.3630591575,-817888.1327581741,1463568.9479806046,1357861.6701283352,1615886.4173936471,1600236.9887257891,1479654.2586636473,-507553.8268327436,-466219.31525124935,1076043.4117541905,1006192.8526214105,1011520.3016825937,1001723.9975383924,926241.0439240515,-476372.5301819749,-438310.3867758132,1044862.1151034218,978283.9241459743,10982275.039500203,10875914.636942538,10056381.350257548,-1416549.3705272488,-1291794.518939007,1985038.955448696,1831768.0563091682,8421296.601028461,8339738.591115092,7711313.892519666,-1251631.6456013368,-1143262.0661078002,1820121.230522784,1683235.6034779614
Agro,202203,11503944.273066849,14215314.76891675,13309075.869610025,906238.899306725,14181390.869165247,0.8112,0.16703648914819427,0.06865402112294731,0.078776363810143,4054186.329125086,19.8911,2022,0.050161072968867265,3850823.992840458,2260884.911013702,2255448.7045319583,1793301.418111384,1595375.2883084998,12271676.27628499,12301031.86768081,11516830.197769178,2101354.5640076045,2085729.6384750083,1952831.7651174814,1765094.3543654499,10565230.135652693,10590503.665680893,9915349.682733117,1920114.347044671,1898300.6018920988,2134071.982080415,1952523.3909483594,5052888.066658632,5064975.292080337,4742078.633910845,-689450.437148842,-578733.5935314521,4743636.766273928,4429557.58637191,1770824.9114037836,1775060.9759284947,1661899.2675050418,174823.98720270558,182245.00884139445,3879362.34192238,3668578.9839990637,1123642.4080098206,1126330.3201305384,1054525.765242819,124606.322592146,128284.72131876752,3929580.00653294,3722539.271521691,12933412.778673243,12964351.337704329,12137862.46443669,2088436.7007617913,2081481.1141791418,1965749.6283632945,1769342.8786613164,10209638.320233958,10234061.224169835,9581630.762375984,1894322.6330547435,1870316.8698563185,2159863.6960703423,1980507.1229841397
Agro,202204,14395712.102057964,17699863.191007253,16935978.1900488,763885.0009584522,17746193.4196967,0.8112,0.1670364891620216,0.062486792876727926,0.05306337022739221,6179841.828367239,20.3453,2022,0.050161072968867265,5869854.331478451,3484548.4220905025,3626902.3204387743,2695293.4062767364,2242952.011039677,16261122.40186187,16218669.268290747,15518709.15809918,3917637.4006099366,4001878.960330002,2262204.4277573023,1867975.3711484494,14183878.909463277,14146848.863749389,13536303.712002976,3556345.198068496,3620954.029269859,2623496.630298743,2248900.302208592,4267250.370425606,4256109.801805548,4072425.9843123527,-808865.4902747888,-669652.6495984923,6988707.318642028,6539506.981076944,1595310.559243347,1591145.6602538882,1522475.5077735225,-183915.31567460648,-139423.75973151927,6363757.144041846,6009278.09120997,945752.6730213912,943283.5836460829,902573.6542290197,-183046.73648445553,-151952.11101379932,6362888.564851695,6021806.44249225,16661646.949446026,16618148.160987318,15900947.469270498,3653796.8232829887,3763085.004833808,2526045.00508425,2106769.326644643,13782656.667996524,13746674.098649133,13153399.560665287,3512612.8744792975,3571768.7982893027,2667228.9538879413,2298085.5331891486
Agro,202205,13740406.887810824,16904731.63495974,16205942.051763983,698789.5831957532,16938371.410023205,0.8112,0.16703648653393585,0.06325689363925271,0.05085654223352385,1684403.48563816,19.6855,2022,0.050161072968867265,1599911.9994860499,-795131.5560475141,-730036.1382848155,2479535.0416856743,2329948.137770865,15478124.872589594,15447385.161757065,14808837.796927858,-771284.106533682,-709871.361171322,2455687.592171842,2309783.3606573716,13427075.216402778,13400408.91070513,12846477.244733043,-746439.953044258,-689826.4672699329,2430843.4386824183,2289738.4667559825,3642257.520658887,3635023.960787501,3484763.256665337,-621085.8410180472,-587662.7276470158,2305489.3266562074,2187574.7271330655,1574607.9929597222,1571480.8057340984,1506520.625297512,-19664.854519789806,-15954.882476010593,1704068.3401579498,1615866.8819620605,954160.1391337469,952265.1675524772,912901.4560251269,8981.583906394313,10327.801796107204,1675421.9017317658,1589584.1976899425,15861978.21609765,15830476.16868503,15176093.000553058,-787671.9923022874,-724854.4687174391,2472075.4779404476,2324766.4682034887,13015698.618654098,12989849.310994787,12452888.915419284,-756824.7876543459,-700510.6452460028,2441228.273292506,2300422.6447320525
Agro,202206,9686676.470675878,11393568.366500624,10670290.156094024,723278.2104065993,11844632.588116394,0.8178114769380375,0.04320140918274497,0.13300886283283822,0.0746673239883827,2397550.3066952066,20.1353,2022,0.050161072968867265,2277286.6108145383,-5511163.268459115,-5535651.8956699595,7908713.575154321,7812938.506484497,15131462.299156543,14555229.882228294,13631245.37775754,-892155.2795287706,-1177592.4191703182,3289705.586223977,3454879.0299848565,13017823.493527718,12522082.120584605,11727164.421809027,-878326.7901205253,-1119312.822924016,3275877.096815732,3396599.4337385544,2794338.914364205,2687925.625647853,2517292.6883899597,-947098.335139648,-967470.5682753772,3344648.6418348546,3244757.1790899155,1471224.9296865028,1415198.1240600827,1325359.5472757902,-156282.6816740157,-181161.07802172168,2553832.9883692223,2458447.68883626,877249.635533615,843842.4427759701,790274.2512978168,-108422.72477650712,-122627.2047273101,2505973.0314717134,2399913.8155418485,15740647.55325922,15141216.301718127,14180032.634072356,-689259.8669669032,-996060.3664807025,3086810.1736621098,3273346.977295241,12591998.71669682,12112473.492298378,11343558.270192446,-877375.8186964095,-1109330.645226838,3274926.125391616,3386617.2560413764
Agro,202207,11346896.04863819,12508464.82030782,11740228.666280337,768236.1540274817,13486360.696998805,0.8413608610633763,0.041992219596527006,0.06037663675772122,0.06770452031414198,4290099.129275239,20.3626,2022,0.050161072968867265,4074903.15380799,1114896.4538071956,1069938.5101863127,3175202.6754680434,3004964.643621677,16868547.77824639,15645409.550764242,14684510.716724258,1090179.6685359478,1053265.338966718,3199919.4607392913,3021637.814841272,14594557.877120227,13536306.634193005,12704943.209681794,1014224.5136083998,977778.7878727671,3275874.6156668393,3097124.3659352227,2851946.430748053,2645151.824120579,2482693.7372671063,-42773.80152727431,-34598.95112285344,4332872.930802513,4109502.104930843,1830591.7714670373,1697855.5807747308,1593577.8728220472,282657.45671464805,268218.32554625697,4007441.6725605913,3806684.828261733,1211772.547204885,1123906.932157032,1054879.6013495496,280064.48938106187,264605.35005173285,4010034.639894177,3810297.803756257,17332137.219855595,16075384.12668711,15088077.414519643,934167.8249689825,908044.7804472875,3355931.3043062566,3166858.3733607023,14165751.322839348,13138592.838792782,12331655.922328018,1026119.3464944046,988097.6521355715,3263979.7827808345,3086805.5016724183
Agro,202208,11675382.681996902,12778868.463799195,12009305.716072915,769562.7477262798,12498261.624840975,0.934160528276304,0.03782070517009747,0.05669318031511564,0.06591327827848614,1478986.8489227134,20.1432,2022,0.050161072968867265,1404799.2816739061,270403.6434913762,269077.04979257844,1208583.2054313372,1135722.2318813277,15653267.403394867,16004709.389271066,15040881.631824514,359299.8385068234,356370.915100256,1119687.01041589,1048428.3665736502,13515179.3637506,13818617.703661628,12986439.687279789,282311.069468623,281496.47759799473,1196675.7794540904,1123302.8040759114,2567232.551749189,2624871.2084552697,2466797.502216816,-20280.61566530913,-15896.235050290357,1499267.4645880226,1420695.5167241965,1874923.8162053304,1917018.9860093598,1801573.2090615777,219163.40523462906,207995.33623953047,1259823.4436880844,1196803.9454343757,1275094.9688894153,1303722.9796745665,1225210.8139570418,179816.04751753458,170331.21260749223,1299170.8014051788,1234468.069066414,16235003.690012442,16599506.626714842,15599859.281823289,524122.5000277329,511781.86730364524,954864.3488949805,893017.4143702609,13096407.868127976,13390444.08883557,12584051.33383762,251851.25004278682,252395.41150960326,1227135.5988799266,1152403.8701643029
Agro,202209,11481063.55262308,12555430.69394001,11863518.656438334,691912.0375016768,13139841.781275058,0.8737596497534832,0.04043515859022157,0.053142159956322856,0.06026550017168014,3667550.654543874,20.1271,2022,0.050161072968867265,3483582.3785442817,-223437.76985918544,-145787.0596345812,3890988.4244030593,3629369.438178863,16684211.472908285,15942160.059313254,15063610.153881393,-62549.32995781116,22728.522056879476,3730099.984501685,3460853.856487402,14410520.064902352,13769593.953280948,13010771.094867669,-49023.750380679965,24331.40758788027,3716574.404924554,3459250.9709564014,2328632.0426005865,2225063.186394208,2102443.099485436,-399808.0220610616,-364354.40273137996,4067358.6766049354,3847936.7812756617,1742924.8539190395,1665406.06594751,1573627.891829312,-251612.92006184976,-227945.3172322656,3919163.574605724,3711527.6957765473,1101736.4786363184,1052735.3548667703,994720.5975803089,-250987.6248077962,-230490.21637673292,3918538.2793516703,3714072.5949210147,17269714.47021726,16501622.070057014,15592241.004054505,-97884.55665782839,-7618.277768783271,3765435.2112017022,3491200.656313065,13962925.008493917,13341906.253289405,12606652.659454072,-48537.83554616384,22601.32561645098,3716088.4900900377,3460981.0529278307
Agro,202210,10832193.447348095,11810208.978157826,11041932.908638434,768276.0695193914,12771028.681610445,0.8481848813749701,0.041654373863242805,0.04863348293728038,0.07092525380512646,2010693.2971100889,19.8103,2022,0.050161072968867265,1909834.7639157374,-745221.7157821842,-821585.7477998994,2755915.0128922733,2731420.5117156366,16060375.27191409,14852083.802933348,13885928.115985455,-1090076.256379906,-1177682.0378959384,3100769.553489995,3087516.8018116755,13816968.717055226,12777458.422598582,11946260.976938082,-992135.5306823663,-1064510.1179295871,3002828.8277924554,2974344.8818453243,2079674.7216207068,1923211.800808165,1798103.294607229,-301851.3855860431,-304339.8048782069,2312544.682696132,2214174.568793944,1560686.9553661817,1443269.7280604003,1349382.346729446,-222136.33788710972,-224245.5450998661,2232829.6349971984,2134080.3090156037,915272.8214733092,846412.8899180281,791352.1564915987,-206322.46494874218,-203368.4410887102,2217015.762058831,2113203.2050044476,16622297.811185746,15371730.480095025,14371770.80988088,-1129891.5899619889,-1220470.1941736247,3140584.887072078,3130304.958089362,13383039.247328272,12376175.342979793,11571082.108323885,-965730.9103096128,-1035570.5511301868,2976424.207419702,2945405.315045924
