Ramo,Grupo,mes,real,dp,de,r_leg,r_grp,r_pla,r_esc
10,Vida,202602,40129740.60864216,0.035,0.0,1.1471389274973909,1.1388613763185398,1.1828580235806674,1.1409641711384888
10,Vida,202603,46726219.01736103,0.035,0.0,1.0034627043126092,0.9843419077683535,1.022610919503887,0.9987364594795524
10,Vida,202604,58662206.61007052,0.045,0.0,1.00051360785485,0.9620377432795312,0.9796690124358026,0.9974279703717401
10,Vida,202605,67933429.43062611,0.045,0.0,1.0028658532779129,0.9541387046503031,0.9706430181685449,1.0002896923600801
31,AyE,202602,1216209.8631599715,0.105,0.015,1.3037449489754862,1.433458254495171,1.2460225982236368,1.2557534099286238
31,AyE,202603,1398191.6079039564,0.115,0.03,1.0209021648934595,1.1163973943801093,0.9491527338055867,0.9482450790396318
31,AyE,202604,1598901.811801612,0.105,0.02,1.0706004673165146,1.1691755506553372,1.0187811580139972,1.0189560397420063
31,AyE,202605,2163158.25341261,0.115,0.03,1.0674645804038945,1.1301425336779976,0.9791628384168047,0.9772695492049033
35,AyE,202602,3477001.2471128963,0.11,0.03,1.0863918890521274,1.1099017173090675,1.0426765597861478,1.0442691220209361
35,AyE,202603,3448611.4698859705,0.13,0.05,1.1535118684333583,1.0549903503101858,0.9726117386268627,0.9744341291411162
35,AyE,202604,3296099.176245649,0.11,0.03,1.2223353770332164,1.0891785491000396,1.0164938578178693,1.018446090524846
35,AyE,202605,3828484.080829984,0.13,0.05,1.1967494895157245,1.0802464296141019,0.9809850497578947,0.9822615505129109
39,AyE,202602,10362164.02523242,0.0,0.0,1.0269075251883881,0.9630933491274019,1.0269075251883881,1.0269075251883881
39,AyE,202603,10167903.835940463,0.0,0.0,0.998100747752203,0.9355347891856427,0.998100747752203,0.998100747752203
39,AyE,202604,10548793.86620718,0.0,0.0,0.9954894670634312,0.933548916164049,0.9954894670634312,0.9954894670634312
39,AyE,202605,10578053.93625181,0.0,0.0,0.9985887837878875,0.9378261951387568,0.9985887837878875,0.9985887837878875
40,RC,202602,12013974.348007752,0.095,0.035,1.1956987143970264,1.0801239791407506,1.101177904957746,1.1125499029172543
40,RC,202603,13567105.973712984,0.11,0.055,1.0616436017784092,0.9578582163387092,0.9480693952942632,0.947768800782295
40,RC,202604,14714820.140479024,0.11,0.055,1.0748213713066173,0.9802350379686597,0.9706229778001529,0.9642191260254698
40,RC,202605,14018639.556288602,0.095,0.035,1.1128481663554588,1.0113505356709003,1.0316585701066956,1.0372989502192902
