Grupo,Variante,ratio,MAPE,R2,PND_real_prom,PND_mod_prom
Agro,NT_reg_m,1.1855021007125701,0.18146821471020388,0.5528339012462506,7519859.596419869,8914809.348619334
Agro,NT_reg_t,1.0084661749669228,0.08338396099229001,0.9150247639056293,7519859.596419869,7583524.043489853
Agro,NT_reg_susc,0.08118788536047518,0.9141256186783174,-5.023271963939578,7519859.596419869,610521.4988410055
Agro,MEC_pub,0.1786850378592942,0.8033516775176905,-4.023097389403214,7519859.596419869,1343686.3966828613
Agro,MEC_prop,0.11821229991124477,0.8667612766104131,-4.720311985072293,7519859.596419869,888939.8979024376
Agro,MEC_reg,1.2818084642798955,0.2741818286745173,0.27502925106037934,7519859.596419869,9639019.680887386
Agro,CAL,0.9684051428062685,0.08469928839726801,0.9236951384952484,7519859.596419869,7282270.706354073
Autos,NT_reg_m,1.0824403929594617,0.17526961166376256,0.44747833741503296,10260758.76956852,11106659.75459399
Autos,NT_reg_t,0.980218836072502,0.15932748715212858,0.6047863019715778,10260758.76956852,10057789.018327173
Autos,NT_reg_susc,0.4627889001143993,0.42560382795993207,-1.3693620024819317,10260758.76956852,4748565.265307792
Autos,MEC_pub,0.44599171171262586,0.4727118768776232,-1.3011550410826787,10260758.76956852,4576213.367110201
Autos,MEC_prop,0.4044954921320172,0.5170388778291488,-1.596170948558059,10260758.76956852,4150430.668144529
Autos,MEC_reg,1.2256314177791694,0.36285133862321484,0.06071647780957179,10260758.76956852,12575908.31823631
Autos,CAL,0.9211682540412454,0.15952610009824567,0.6274880956945152,10260758.76956852,9451885.24090183
AyE,NT_reg_m,1.1002255536573864,0.1739676109126579,0.7646086736849353,15669066.066892063,17239506.888740484
AyE,NT_reg_t,0.9852600599684493,0.2041347081779536,0.7408187453548898,15669066.066892063,15438104.972715668
AyE,NT_reg_susc,0.5529715031026742,0.4580845692648816,-0.2792447228984458,15669066.066892063,8664547.015224412
AyE,MEC_pub,0.3500792900777568,0.6249059046994883,-1.5369365420622523,15669066.066892063,5485415.524879042
AyE,MEC_prop,0.26667698578163995,0.7129901565973503,-2.1928025851863118,15669066.066892063,4178579.308732151
AyE,MEC_reg,1.1689939113462255,0.261650622985787,0.7069403623883739,15669066.066892063,18317042.82867857
AyE,CAL,1.0183515074238019,0.1713207986242627,0.8041679270924196,15669066.066892063,15956617.049142675
CAT,NT_reg_m,0.9504574838894473,0.06671786385411517,0.8496695372360914,128979174.97124453,122589222.11730586
CAT,NT_reg_t,0.8422459315313813,0.15393361097128722,0.2760180021123724,128979174.97124453,108632185.37180486
CAT,NT_reg_susc,0.31103338818416393,0.6812052124837412,-10.969125677952,128979174.97124453,40116829.796504304
CAT,MEC_pub,0.25254261167576486,0.7403502696022435,-13.096785590710212,128979174.97124453,32572737.699023537
CAT,MEC_prop,0.22165474569478552,0.7716110281668491,-14.260037501462206,128979174.97124453,28588846.22817445
CAT,MEC_reg,0.9602645807816311,0.0629181978518334,0.8667721488031478,128979174.97124453,123854133.38332278
CAT,CAL,1.003224159240276,0.05198352424558141,0.9212839392003808,128979174.97124453,129395024.37003124
Credito,NT_reg_m,0.866448289156118,0.13064645664790162,0.5862041281400279,3222399.2802362796,2792042.3433386306
Credito,NT_reg_t,0.7396933468349619,0.2582743391072346,-0.1877135109156891,3222399.2802362796,2383587.308436546
Credito,NT_reg_susc,0.022313428002892183,0.9780599116496771,-14.487608841834867,3222399.2802362796,71902.77433612381
Credito,MEC_pub,0.07112206557230125,0.9278273511010355,-13.027090316786373,3222399.2802362796,229183.69290910102
Credito,MEC_prop,0.04525901680772164,0.9536720815959827,-13.81656567865761,3222399.2802362796,145842.62318540388
Credito,MEC_reg,0.8936104846892535,0.1062934329621965,0.6785348439826331,3222399.2802362796,2879569.7826742437
Credito,CAL,0.9952886086713763,0.08659423930793457,0.8470571410652115,3222399.2802362796,3207217.296210011
Diversos,NT_reg_m,1.0060162072859613,0.050686321157163004,0.8551379360352932,33358736.453640122,33559429.526942976
Diversos,NT_reg_t,0.8587314046871536,0.13673056167338984,0.06154322266972989,33358736.453640122,28646194.61342294
Diversos,NT_reg_susc,0.21073587827154805,0.788488471855966,-23.481790504482476,33358736.453640122,7029882.6245869575
Diversos,MEC_pub,0.11722616658571176,0.8817743882194493,-29.48462992814923,33358736.453640122,3910516.7966032727
Diversos,MEC_prop,0.08328911041464106,0.9160024856993263,-31.853225438440013,33358736.453640122,2778419.483780144
Diversos,MEC_reg,1.0105959559220377,0.04984561091180322,0.8729117300646398,33358736.453640122,33712204.154717766
Diversos,CAL,1.0060162072859613,0.050686321157163004,0.8551379360352932,33358736.453640122,33559429.526942976
Incendio,NT_reg_m,0.9969765053998528,0.02365130252276092,0.9820008720249376,126512826.88207443,126130316.03314711
Incendio,NT_reg_t,0.8678725976111196,0.13098185732901285,0.6559496814180537,126512826.88207443,109797015.69727181
Incendio,NT_reg_susc,0.24059978630756565,0.7562575718077429,-9.873173365092725,126512826.88207443,30438959.112993155
Incendio,MEC_pub,0.1638344224329102,0.8342547793329084,-12.074410061972811,126512826.88207443,20727155.922579415
Incendio,MEC_prop,0.14431346232544232,0.8538312504043382,-12.689367774082369,126512826.88207443,18257504.075931452
Incendio,MEC_reg,0.9985026168519868,0.024024379964481056,0.9811651442530243,126512826.88207443,126323388.7070937
Incendio,CAL,0.9969765053998528,0.02365130252276092,0.9820008720249376,126512826.88207443,126130316.03314711
MyT,NT_reg_m,0.9872054586241642,0.04743613191230976,0.969413277185568,41927580.5163786,41391136.3526731
MyT,NT_reg_t,0.8463802756070927,0.14124023892952212,0.7552475505165657,41927580.5163786,35486677.152991086
