Grupo,Año,PE,PR,PD_tom_real,PD_ret_real,dBRUTO_real,dNETO_real,PE_MXN,PD_tom_real_MXN,PD_ret_real_MXN,PD_tom_NT_reg_m,PD_ret_NT_reg_m,dBRUTO_NT_reg_m,dNETO_NT_reg_m,PD_tom_NT_reg_m_MXN,PD_ret_NT_reg_m_MXN,PD_tom_NT_reg_t,PD_ret_NT_reg_t,dBRUTO_NT_reg_t,dNETO_NT_reg_t,PD_tom_NT_reg_t_MXN,PD_ret_NT_reg_t_MXN,PD_tom_NT_reg_susc,PD_ret_NT_reg_susc,dBRUTO_NT_reg_susc,dNETO_NT_reg_susc,PD_tom_NT_reg_susc_MXN,PD_ret_NT_reg_susc_MXN,PD_tom_MEC_pub,PD_ret_MEC_pub,dBRUTO_MEC_pub,dNETO_MEC_pub,PD_tom_MEC_pub_MXN,PD_ret_MEC_pub_MXN,PD_tom_MEC_prop,PD_ret_MEC_prop,dBRUTO_MEC_prop,dNETO_MEC_prop,PD_tom_MEC_prop_MXN,PD_ret_MEC_prop_MXN,PD_tom_MEC_reg,PD_ret_MEC_reg,dBRUTO_MEC_reg,dNETO_MEC_reg,PD_tom_MEC_reg_MXN,PD_ret_MEC_reg_MXN,PD_tom_CAL,PD_ret_CAL,dBRUTO_CAL,dNETO_CAL,PD_tom_CAL_MXN,PD_ret_CAL_MXN,err_tom_NT_reg_m,err%_tom_NT_reg_m,err_ret_NT_reg_m,err%_ret_NT_reg_m,err_tom_NT_reg_t,err%_tom_NT_reg_t,err_ret_NT_reg_t,err%_ret_NT_reg_t,err_tom_NT_reg_susc,err%_tom_NT_reg_susc,err_ret_NT_reg_susc,err%_ret_NT_reg_susc,err_tom_MEC_pub,err%_tom_MEC_pub,err_ret_MEC_pub,err%_ret_MEC_pub,err_tom_MEC_prop,err%_tom_MEC_prop,err_ret_MEC_prop,err%_ret_MEC_prop,err_tom_MEC_reg,err%_tom_MEC_reg,err_ret_MEC_reg,err%_ret_MEC_reg,err_tom_CAL,err%_tom_CAL,err_ret_CAL,err%_ret_CAL
Agro,2023,19110630.5411796,18152020.808122426,23620854.82528141,22443360.665474135,-4510224.28410181,-4291339.857351709,335368065.5602233,419164517.788193,398225009.4170054,27616373.82619323,26264421.172605924,-8505743.285013627,-8112400.364483498,490520306.1303407,466454163.2857235,26678643.802349787,25370806.752538636,-7568013.261170186,-7218785.94441621,473731266.36889344,450460277.83821213,24200415.24382103,23026842.352639023,-5089784.702641429,-4874821.544516596,424656695.67841834,404070366.05999225,19026463.6596291,18068365.7475007,84166.88155050273,83655.06062172889,334238554.0825594,317413080.31893444,19190260.312241357,18226779.179830566,-79629.7710617542,-74758.37170813861,336884933.0032412,319974988.4495971,26907846.455791816,25583737.86890454,-7797215.914612217,-7431717.06078211,478382580.38708824,454794154.75462925,26621072.559726518,25316670.29768128,-7510442.018546917,-7164649.489558853,472583730.1202397,449380338.4064765,3995519.000911817,0.1691521763486481,3821060.507131789,0.17025349118102165,3057788.977068376,0.12945293469208502,2927446.087064501,0.1304370646936113,579560.4185396172,0.024535962937264805,583481.6871648878,0.025997964202504217,-4594391.165652312,-0.1945057111453449,-4374994.917973436,-0.19493492900569626,-4430594.513040055,-0.1875713028089901,-4216581.485643569,-0.18787656396442312,3286991.6305104047,0.13915633683978007,3140377.203430403,0.1399245527547672,3000217.7344451062,0.1270156290547949,2873309.632207144,0.128024927952404
Agro,2024,15208345.633747952,14172857.43254865,21650512.627288066,20509372.590479262,-6442166.993540113,-6336515.1579306135,279161638.5408786,396290662.5337515,375249079.95075727,21232646.769099195,20147953.89915128,-6024301.135351243,-5975096.466602631,389861684.2984831,369803940.88702977,20426064.892357122,19346198.1737513,-5217719.258609168,-5173340.741202649,375190522.0876057,355233014.7631464,11409899.354048837,10568694.805911051,3798446.2796991146,3604162.626637597,209307563.9304771,193999683.30769596,15713531.291650813,14686416.684225695,-505185.6579028608,-513559.2516770464,290596042.01021695,271601779.5302124,15299884.203449348,14277820.476457251,-91538.56970139605,-104963.04390860314,283156186.50006056,264255482.71441337,21553979.528225463,20484805.843322635,-6345633.894477511,-6311948.410773983,395238284.51391745,375483683.4038391,20216065.69347061,19137459.228325654,-5007720.059722657,-4964601.795777003,371368627.0596552,351437530.5983788,-417865.8581888713,-0.019300506430605147,-361418.69132798165,-0.017622123238219257,-1224447.7349309437,-0.05655513825514059,-1163174.4167279638,-0.056714285705059826,-10240613.273239229,-0.47299634191257317,-9940677.784568211,-0.4846895116227404,-5936981.335637253,-0.27421897291033875,-5822955.906253567,-0.28391682293375786,-6350628.423838718,-0.29332462159969624,-6231552.114022011,-0.30383923674558355,-96533.09906260297,-0.004458698079089995,-24566.747156627476,-0.001197830262639614,-1434446.9338174574,-0.06625464064114105,-1371913.3621536084,-0.06689202003139139
Agro,2025,11066968.504633775,9879193.608145155,11953483.434697356,10875793.809145262,-886514.9300635811,-996600.2010001084,215138976.813824,227217739.293841,206934593.49309257,13827583.881510567,12608875.418998005,-2760615.376876791,-2729681.81085285,262301645.08167306,239457381.457921,13577953.425778968,12349006.770519251,-2510984.9211451923,-2469813.162374097,257944527.8752989,234822439.1743604,12088425.892097985,10844353.869170321,-1021457.3874642092,-965160.261025166,236217339.39210406,211961750.3101545,11134683.221090611,9976585.172553452,-67714.71645683504,-97391.56440829602,214810890.39386624,192478487.40071398,11042602.922535108,9878833.422388308,24365.58209866658,360.1857568459818,213162143.97709504,190694756.3586966,14337800.72290523,13103335.853705244,-3270832.218271454,-3224142.245560089,272381195.9188707,249243065.5909768,13497005.423796454,12267016.67064364,-2430036.919162679,-2387823.0624984857,256378415.70130086,233227791.16062224,1874100.4468132108,0.15678278696344386,1733081.6098527424,0.15935219444813534,1624469.9910816122,0.1358992966323328,1473212.9613739885,0.13545797090555264,134942.4574006293,0.011288965106935445,-31439.939974941313,-0.0028908179510082313,-818800.213606745,-0.06849887884815359,-899208.6365918107,-0.08267981651469726,-910880.5121622477,-0.07620209766788452,-996960.3867569547,-0.09166782712620282,2384317.2882078737,0.19946631467166465,2227542.0445599817,0.20481650200897344,1543521.9890990984,0.12912737927244872,1391222.8614983782,0.1279192016612639
Agro,2026,7119514.453139851,6355404.521943543,5208992.581264365,4568608.188911624,1910521.8718754854,1786796.333031918,123954714.1775367,90066532.5862991,79125073.69649613,4033588.3730061706,3504766.9575118795,3085926.0801336803,2850637.5644316627,70511875.87303959,61427693.46176241,4064317.3292604946,3540825.1866395134,3055197.1238793563,2814579.3353040293,70973995.07450421,61969800.23741965,5863203.1174885705,5210040.549657605,1256311.3356512804,1145363.9722859373,101817139.25081986,90497172.81155184,6190006.49648841,5500630.047218924,929507.9566514412,854774.474724618,107548566.67289832,95605299.85407463,6240517.687550841,5550091.90984737,878996.7655890102,805312.612096172,108415180.97149485,96445358.72412339,3756674.1904209955,3247513.074965275,3362840.2627188554,3107891.4469782673,65751913.68830086,57028437.43709091,4122654.530546644,3595785.9815067914,2996859.9225932076,2759618.540436751,72000249.077019,62930345.40009062,-1175404.2082581948,-0.22564904632152347,-1063841.2313997447,-0.23285893370803215,-1144675.252003871,-0.21974983341712243,-1027783.0022721109,-0.22496632667397962,654210.536224205,0.12559252600536633,641432.3607459804,0.14039994988031318,981013.9152240446,0.18833083363423136,932021.8583073001,0.20400564455699907,1031525.1062864754,0.19802775492456087,981483.7209357461,0.21483210648658496,-1452318.39084337,-0.27880984051830854,-1321095.1139463494,-0.28916796085791563,-1086338.0507177217,-0.20855050833150499,-972822.2074048328,-0.21293623072469856
Autos,2023,16144793.425506078,14540667.946767917,14241218.460187482,12901299.931152366,1903574.965318596,1639368.0156155517,281193528.4240853,251140556.3877334,227459514.6020851,13667158.668134812,12377328.158733206,2477634.7573712645,2163339.788034711,240980451.14113507,218166510.24707738,13830024.56967772,12519632.434760109,2314768.855828358,2021035.5120078074,243740106.82375544,220580442.3301881,13410254.41244364,12120533.16082372,2734539.013062438,2420134.7859441973,236695679.57798713,213907787.02346018,14503043.204930719,13099462.387933472,1641750.2205753587,1441205.5588344443,254629029.74050248,229933737.08021978,14543714.637188882,13130636.535427384,1601078.788317196,1410031.4113405324,255323711.18905705,230471636.13970745,13349567.671878124,12122175.82721208,2795225.753627954,2418492.1195558356,235626152.0635087,213792532.1871199,13929847.060198182,12606786.914452605,2214946.3653078945,1933881.032315312,245416190.52957743,222043689.2040897,-574059.7920526695,-0.04030973850008001,-523971.77241916023,-0.040613874199912366,-411193.89050976187,-0.028873504866124257,-381667.4963922575,-0.02958364648748743,-830964.047743842,-0.05834922412480867,-780766.7703286465,-0.060518457403145355,261824.74474323727,0.01838499602229895,198162.45678110607,0.015359882945020864,302496.1770013999,0.021240891560441497,229336.60427501798,0.017776240029986904,-891650.7883093581,-0.06261056880786166,-779124.1039402857,-0.060391131754014886,-311371.3999892995,-0.02186409827640551,-294513.01669976115,-0.022828166019814
Autos,2024,23852535.48823377,21616944.051259458,16492167.865205172,14446448.377982412,7360367.623028599,7170495.673277048,436559230.4810105,305642131.1805073,267929765.18220517,21578152.250206072,19245525.733012915,2274383.2380276984,2371418.318246546,406996027.436538,363631072.40812254,22246790.419356734,19893283.500498936,1605745.0688770385,1723660.5507605234,418594192.5182849,374887265.1822278,27760797.73979884,25123994.803465717,-3908262.251565067,-3507050.7522062575,511180906.054586,462838642.49711573,25414189.978239156,22963732.382063568,-1561654.4900053837,-1346788.3308041082,470931114.6713595,425782626.26131415,25538740.79425221,23090841.762747046,-1686205.3060184373,-1473897.7114875861,472894236.38839597,427807063.1643712,23030742.306400366,20566308.035153076,821793.181833405,1050636.016106382,434330957.2061317,388544882.3484506,22622244.05453013,20257818.798463516,1230291.4337036442,1359125.252795945,425136587.11294615,381250074.134351,5085984.385000899,0.30838786183659955,4799077.355030503,0.33219772981328033,5754622.554151561,0.3489306318723897,5446835.122516524,0.3770362777067029,11268629.874593668,0.6832715969601537,10677546.425483305,0.7391122126429893,8922022.113033984,0.5409854050696075,8517284.004081156,0.5895763291593666,9046572.929047037,0.5485375241743268,8644393.384764634,0.5983749886885283,6538574.441195194,0.39646543102378556,6119859.6571706645,0.4236238206823097,6130076.189324956,0.37169620388463676,5811370.420481104,0.4022698360476002
Autos,2025,42242409.987082615,38828821.60194293,40711461.24100727,37236525.07190787,1530948.746075347,1592296.5300350562,795589631.2537658,770059284.4284096,704327058.105072,30263527.37346425,27279737.83211869,11978882.613618363,11549083.769824235,574123114.0630915,517684715.038942,31272184.131058965,28255210.30636889,10970225.856023647,10573611.295574034,592581701.5526842,535553325.6668319,40527068.98405586,37160981.17833124,1715341.003026748,1667840.423611682,761517878.3263471,698219192.5533805,41410433.209135145,38005014.85561308,831976.7779474696,823806.7463298487,776564369.3527648,712582413.7805543,41712458.153275445,38297948.34034256,529951.8338071713,530873.2616003626,782105472.249789,717962525.3078071,28497468.39763151,25585592.117911357,13744941.589451103,13243229.484031567,541620713.2494049,486510439.7758746,31886599.206220187,28849167.455680538,10355810.780862426,9979654.146262387,603671913.0779423,546285628.2759178,-10447933.86754302,-0.2566337230121127,-9956787.23978918,-0.2673930293055412,-9439277.109948304,-0.23185797861857244,-8981314.76553898,-0.2411963723305293,-184392.2569514066,-0.004529246834443628,-75543.89357662946,-0.0020287578776683863,698971.9681278765,0.017168923610725764,768489.7837052122,0.02063806389616574,1000996.9122681767,0.02458759478915256,1061423.2684346884,0.02850489583506952,-12213992.843375757,-0.30001361953260025,-11650932.953996513,-0.3128899093429708,-8824862.034787081,-0.21676603506184391,-8387357.6162273325,-0.2252454438224408
Autos,2026,14709934.09300014,13521231.5501909,19588036.29682952,19023271.24399721,-4878102.2038293835,-5502039.693806311,256185857.9156378,342721455.3668903,332934448.15212333,17079543.5542992,17287905.71963853,-2369609.461299062,-3766674.1694476306,298094538.62039286,301871314.51132977,17420548.191280223,17420381.73753816,-2710614.0982800834,-3899150.1873472594,304028201.6030205,304153080.72190434,15799605.739086192,14840937.866771763,-1089671.646086052,-1319706.3165808641,275334049.8379623,258666726.64926016,12772703.233663645,12120102.334704617,1937230.8593364954,1401129.215486282,222832433.12755895,211492920.43734702,12658341.039720569,11962138.679633155,2051593.0532795722,1559092.8705577455,220835148.30068403,208730902.86405846,17903072.355429206,18187010.96672056,-3193138.262429066,-4665779.416529659,312525595.99859726,317632847.80276084,17599829.87475384,17478157.61838874,-2889895.781753702,-3956926.068197839,307174395.68076766,305170444.3102502,-2508492.74253032,-0.12806249204961598,-1735365.5243586786,-0.09122329709230598,-2167488.105549298,-0.11065367006186952,-1602889.5064590499,-0.08425940448937463,-3788430.5577433296,-0.19340532661543602,-4182333.3772254456,-0.2198535322122992,-6815333.063165877,-0.3479334508007315,-6903168.909292592,-0.36288022289914446,-6929695.257108953,-0.3537718203141465,-7061132.564364053,-0.3711839290832902,-1684963.9414003156,-0.08602005407111893,-836260.2772766501,-0.04395985666978974,-1988206.4220756814,-0.10150105870477115,-1545113.6256084703,-0.08122228852180356
AyE,2023,31160778.514145255,29638918.999237306,27886885.632349566,26346625.007674746,3273892.881795693,3292293.991562562,549069126.0754652,488051351.3948686,462146187.2113514,21439446.519926935,20007189.315783948,9721331.994218323,9631729.683453359,374364563.12732565,350549522.44815934,21762070.517346215,20328478.40977277,9398707.996799042,9310440.589464538,379672635.33858526,355810473.14529216,28954899.773128174,27416464.209018193,2205878.7410170864,2222454.790219116,517272318.28570694,490057302.1788471,32171544.24368766,30578072.58812523,-1010765.7295424012,-939153.5888879211,568964419.2780563,541030285.8166442,32193278.935691465,30611479.424845066,-1032500.4215462061,-972560.42560776,569416907.984423,541584802.72,24432409.10344605,22886277.091035116,6728369.4106992055,6752641.908202191,429655603.9467493,403875474.13218755,22110775.24027545,20669298.605418902,9050003.273869809,8969620.393818405,386425015.2360362,362371206.1827966,-6447439.11242263,-0.23119968279797515,-6339435.6918907985,-0.2406166137045685,-6124815.115003351,-0.21963066065356524,-6018146.597901978,-0.22842191727209452,1068014.1407786086,0.038298078704768757,1069839.201343447,0.040606309196407654,4284658.611338094,0.15364421354989063,4231447.580450483,0.1606068169724914,4306393.303341899,0.1544236011190279,4264854.41717032,0.16187479101888655,-3454476.528903514,-0.12387459017281675,-3460347.9166396298,-0.131339323941174,-5776110.392074116,-0.20712640587494166,-5677326.402255844,-0.21548590761063494
AyE,2024,40299954.53655997,38773342.94125845,33458857.399076592,32100264.761627052,6841097.137483375,6673078.179631404,750526832.5836723,628325835.3679918,602085134.7943887,39544193.81276554,38082651.09568679,755760.7237944286,690691.8455716614,738719830.1203384,710395013.6479214,40633438.39908687,39147334.63732365,-333483.86252690107,-373991.6960651912,759010675.4760232,730306828.9895602,38436051.63071102,36966482.54437144,1863902.905848947,1806860.3968870137,712437096.3604324,684742774.6337733,40012641.160245836,38498935.96083318,287313.37631413154,274406.98042528145,753812908.6204387,725145321.5067211,40465038.90934924,38939533.00160744,-165084.3727892742,-166190.0603489871,761784295.5863904,732975167.1450275,38620949.74740337,37180092.75660132,1679004.7891566008,1593250.1846571378,718067115.6264113,690211987.0195857,39822454.76395863,38352314.92136856,477499.7726013325,421028.01988989674,742967269.7977055,714586606.809617,6085336.4136889465,0.181875200970159,5982386.334059741,0.18636563836729286,7174581.000010278,0.21442994643948254,7047069.875696596,0.21953307637888167,4977194.231634427,0.1487556545123322,4866217.782744389,0.15159431920204938,6553783.761169244,0.19587589865965108,6398671.199206125,0.19933390726593492,7006181.510272648,0.20939691474539138,6839268.239980388,0.21305955856651101,5162092.348326776,0.15428178813031557,5079827.994974267,0.15824878806129783,6363597.364882041,0.19019171183824302,6252050.15974151,0.19476631131140287
