Grupo,BEL_real,BEL_archivo,razon_archivo,delta_produccion,ajustable_pct,dM4_medio,delta_plana,razon_plana,delta_escalonada,razon_escalonada
Agro,19615443.80463978,21030377.612667155,1.072133662746529,0.095,85.31077832943478,0.10985377698240202,0.13,0.9974043336591218,0.03,0.9959890628024033
Autos,42497894.302053474,62938798.057955086,1.4809862721813472,0.13,79.98629722169376,0.29699794448504957,0.315,0.9975222178194729,-0.005,1.003675510077438
AyE,62083573.17398452,60417121.674449995,0.973157931891832,0.045,85.06706356468706,0.01940290668888892,0.03,1.0002948099498081,0.01,1.0027148129090981
CAT,119114119.03639238,70737099.60654962,0.5938599066071895,-0.035,0.0,0.0,-0.3,0.5938599066071895,-0.3,0.5938599066071895
Credito,12104460.882412834,13743853.2636477,1.135437042356576,-0.085,91.5417117158454,0.0,0.0,0.9961542861111119,0.0,0.9961542861111119
Diversos,96644526.88400735,109676191.8107127,1.1348412098115597,0.0,97.9251865968673,0.047714781236764904,0.06,1.004816808791174,0.015,1.0009749356501183
Incendio,427001718.42255807,473239012.71256864,1.1082836257915347,0.0,94.6371872502104,0.046817411708335394,0.05,1.0024933431180683,0.01,0.9951841344116171
MyT,213493555.08987552,232489527.3396462,1.088976794834738,-0.01,97.07027195461137,0.03648326885442758,0.03,1.0027682289224271,-0.005,1.001409752421976
RC,54314540.01848836,66387550.323822945,1.2222795277512246,0.0,97.39019466882155,0.05572646050267686,0.105,1.0047712194944785,0.05,1.0015233063938134
Vida,213451595.66669983,207095687.59170833,0.9702231878138962,0.07,97.57806942640383,0.057819595118447684,0.055,0.9976498781769352,0.015,0.998825173367859
