Ramo,NoLAG,AñoMes,AñoSusc,Fecha Inicio,Fecha Fin,Llave,Prima Dev,LAG,Ind Sin SONR Media,Ind Sin SONR 99.5%,Factor_Ret,BEL_RIESGO,IRR,Desviacion,MR,mes
10,10,202601,2017,201601,201701,202601-10,412356997.759249,0.0,0.852911,1.251134,0.955551279,0.0,0.0,0.0,0.0,202601
10,9,202601,2018,201701,201801,202601-10,697890820.7416373,0.003197,0.852911,1.251134,0.955551279,1902978.3087172008,84584.95191322267,888498.0156573076,19178.19468800253,202601
10,8,202601,2019,201801,201901,202601-10,339847257.9544744,0.0065389999999999,0.852911,1.251134,0.955551279,1895391.0392103845,84247.70748776238,884955.5297181968,19101.730268473675,202601
10,7,202601,2020,201901,202001,202601-10,317949406.7903762,0.008766,0.852911,1.251134,0.955551279,2377186.2025750657,105662.8862833085,1109905.044193416,23957.256682211155,202601
10,6,202601,2021,202001,202101,202601-10,637259625.3454657,-0.001943,0.852911,1.251134,0.955551279,-1056070.5212002257,-46940.98395315339,-493077.90750021685,-10643.06722102952,202601
10,5,202601,2022,202101,202201,202601-10,691914897.6614323,0.0148589999999999,0.852911,1.251134,0.955551279,8768917.411543239,389767.1634977273,4094195.7582643246,88373.05425459964,202601
10,4,202601,2023,202201,202301,202601-10,741841405.2085454,0.047973,0.852911,1.251134,0.955551279,30353701.7816172,1349183.2218083048,14172102.581137944,305904.2762614765,202601
10,3,202601,2024,202301,202401,202601-10,984327697.6744297,0.1280289999999999,0.852911,1.251134,0.955551279,107485968.65546054,4777613.832181308,50185054.35606232,1083242.4225016744,202601
10,2,202601,2025,202401,202501,202601-10,643355224.8817774,0.362144,0.852911,1.251134,0.955551279,198717375.2154514,8832733.168803908,92780875.50802216,2002671.5450791456,202601
10,1,202601,2026,202501,202601,202601-10,334231492.9747444,0.89235,0.852911,1.251134,0.955551279,254381961.87980396,11306952.851028033,118770596.23531784,2563658.6437685555,202601
31,10,202601,2017,201601,201701,202601-31,12362372.00617,0.0,0.481196,2.76934,0.623312554,0.0,0.0,0.0,0.0,202601
31,9,202601,2018,201701,201801,202601-31,15501926.097490398,0.035973,0.481196,2.76934,0.623312554,268339.32834426686,101080.0562553573,1275985.3035248923,27542.09254133985,202601
31,8,202601,2019,201801,201901,202601-31,14941743.862503825,0.0223919999999999,0.481196,2.76934,0.623312554,160996.4060453776,60645.325008412256,765556.9882424095,16524.517451411644,202601
31,7,202601,2020,201901,202001,202601-31,26444505.56673603,0.039684,0.481196,2.76934,0.623312554,504978.51509262674,190219.06713511405,2401232.677408173,51830.51280588278,202601
31,6,202601,2021,202001,202101,202601-31,14916080.927645992,0.072652,0.481196,2.76934,0.623312554,521463.9785479822,196428.93426023825,2479623.009606676,53522.56504017831,202601
31,5,202601,2022,202101,202201,202601-31,25555150.845206566,0.044421,0.481196,2.76934,0.623312554,546246.6524189736,205764.2563857529,2597467.560521201,56066.23503215573,202601
31,4,202601,2023,202201,202301,202601-31,41529637.54258912,0.041003,0.481196,2.76934,0.623312554,819399.6658310934,308657.5673751681,3896342.506948149,84102.39961437651,202601
31,3,202601,2024,202301,202401,202601-31,53854528.45079826,0.0122569999999999,0.481196,2.76934,0.623312554,317635.0520727323,119649.13652535457,1510392.3112201889,32601.75857389339,202601
31,2,202601,2025,202401,202501,202601-31,48029955.230203785,0.599163,0.481196,2.76934,0.623312554,13847748.806875857,5216273.130911614,65847686.48525787,1421319.7203761723,202601
31,1,202601,2026,202501,202601,202601-31,2210560.0055616777,0.977259,0.481196,2.76934,0.623312554,1039522.743462024,391575.1672936231,4943053.824878365,106695.62220311882,202601
35,10,202601,2017,201601,201701,202601-35,36395685.2855,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,9,202601,2018,201701,201801,202601-35,49278923.455600016,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,8,202601,2019,201801,201901,202601-35,627489.4221000001,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,7,202601,2020,201901,202001,202601-35,20212357.2711,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,6,202601,2021,202001,202101,202601-35,39997474.97940001,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,5,202601,2022,202101,202201,202601-35,118427248.3795,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,4,202601,2023,202201,202301,202601-35,81689148.374138,0.0,0.9646,1.30357,0.991118599,0.0,0.0,0.0,0.0,202601
35,3,202601,2024,202301,202401,202601-35,128226569.89457633,0.0054269999999999,0.9646,1.30357,0.991118599,671251.2447613083,5961.651476474336,235884.3400754101,5091.55419381606,202601
35,2,202601,2025,202401,202501,202601-35,98712195.02902946,0.016471,0.9646,1.30357,0.991118599,1568332.109146106,13928.986362502354,551127.4466486165,11896.064238150851,202601
35,1,202601,2026,202501,202601,202601-35,63617305.607477605,0.814578,0.9646,1.30357,0.991118599,49986785.04925157,443952.6827232085,17565851.677529335,379158.2168959712,202601
40,10,202601,2017,201601,201701,202601-40,64630632.28019974,0.0,0.449696,1.197789,0.66622296,0.0,0.0,0.0,0.0,202601
40,9,202601,2018,201701,201801,202601-40,103106374.06248626,0.012402,0.449696,1.197789,0.66622296,575037.6305289892,191934.35820657964,956605.4092883264,20648.29009815581,202601
40,8,202601,2019,201801,201901,202601-40,77643680.02069728,0.022888,0.449696,1.197789,0.66622296,799158.605742487,266740.7939152543,1329442.4652336563,28695.963272227484,202601
40,7,202601,2020,201901,202001,202601-40,116462630.0584059,0.0333139999999999,0.449696,1.197789,0.66622296,1744746.7558330174,582356.4077115472,2902478.195962137,62649.87758995049,202601
40,6,202601,2021,202001,202101,202601-40,329924420.43121123,0.040564,0.449696,1.197789,0.66622296,6018305.937193377,2008772.341530831,10011769.158437712,216103.64312385223,202601
40,5,202601,2022,202101,202201,202601-40,316811880.2994045,0.064007,0.449696,1.197789,0.66622296,9119015.543927012,3043718.015965948,15169963.031254426,327443.0547917067,202601
40,4,202601,2023,202201,202301,202601-40,348929982.67712665,0.081393,0.449696,1.197789,0.66622296,12771572.396761391,4262857.630736723,21246183.886470903,458598.0427321509,202601
40,3,202601,2024,202301,202401,202601-40,398966682.4022467,0.354678,0.449696,1.197789,0.66622296,63634099.81116459,21239601.478035077,105858679.26339915,2284955.424268862,202601
