,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11
NT mensual (referencia),0.95890411,0.876712329,0.791780822,0.706849315,0.624657534,0.539726027,0.457534247,0.37260274,0.295890411,0.210958904,0.126027397,0.043835616
NT trimestral (referencia),0.8767123291780822,0.7945205481780822,0.7095890411780822,0.6246575341780822,0.5424657531780822,0.45753424617808225,0.3753424661780822,0.2904109591780822,0.21369863017808222,0.1287671231780822,0.04383561617808221,0.0
Agro (ramo 80) δ=+0.095,0.86390411,0.781712329,0.696780822,0.6118493150000001,0.529657534,0.4447260270000001,0.36253424700000003,0.27760273999999996,0.20089041100000002,0.115958904,0.031027397000000012,0.0
Autos (ramo 90) δ=+0.130,0.82890411,0.746712329,0.661780822,0.576849315,0.494657534,0.40972602700000005,0.327534247,0.24260273999999998,0.16589041100000002,0.080958904,0.0,0.0
AyE (ramo 30) δ=+0.045,0.9139041099999999,0.8317123289999999,0.746780822,0.661849315,0.579657534,0.49472602700000007,0.412534247,0.32760274,0.25089041100000004,0.16595890400000002,0.08102739700000001,0.0
CAT (ramo 70) δ=-0.035,0.99390411,0.911712329,0.826780822,0.7418493150000001,0.659657534,0.5747260270000001,0.49253424700000004,0.40760273999999996,0.33089041100000005,0.245958904,0.16102739700000002,0.078835616
Credito (ramo 100) δ=-0.085,1.0,0.9617123289999999,0.876780822,0.791849315,0.709657534,0.624726027,0.542534247,0.45760274,0.38089041100000004,0.295958904,0.211027397,0.12883561600000001
Diversos (ramo 110) δ=+0.000,0.95890411,0.876712329,0.791780822,0.706849315,0.624657534,0.539726027,0.457534247,0.37260274,0.295890411,0.210958904,0.126027397,0.043835616
Incendio (ramo 60) δ=+0.000,0.95890411,0.876712329,0.791780822,0.706849315,0.624657534,0.539726027,0.457534247,0.37260274,0.295890411,0.210958904,0.126027397,0.043835616
MyT (ramo 50) δ=-0.010,0.96890411,0.886712329,0.801780822,0.716849315,0.634657534,0.5497260270000001,0.467534247,0.38260274,0.30589041100000003,0.220958904,0.13602739700000002,0.053835616
RC (ramo 40) δ=+0.000,0.95890411,0.876712329,0.791780822,0.706849315,0.624657534,0.539726027,0.457534247,0.37260274,0.295890411,0.210958904,0.126027397,0.043835616
Vida (ramo 10) δ=+0.070,0.8889041099999999,0.806712329,0.7217808219999999,0.6368493150000001,0.554657534,0.46972602700000005,0.387534247,0.30260274,0.225890411,0.140958904,0.05602739700000001,0.0
