Grupo,mes,delta_cv,razon
Agro,202602,0.105,1.2631236562152133
Agro,202603,0.145,0.8803988097997457
Agro,202604,0.135,0.9627938589107873
Agro,202605,0.135,0.9699114194908968
Autos,202602,0.32,0.9463288808223442
Autos,202603,0.305,1.081115196402464
Autos,202604,0.315,0.9908889257706469
Autos,202605,0.315,0.9996067312306418
AyE,202602,0.025,1.0443899654441748
AyE,202603,0.035,0.9708005925908851
AyE,202604,0.03,0.9911587566283226
AyE,202605,0.03,0.9958395865589669
Credito,202602,0.0,0.9735320030887362
Credito,202603,-0.005,1.0145216929414087
Credito,202604,-0.005,1.0109472525883494
Credito,202605,-0.005,1.0118114358534485
Diversos,202602,0.07,0.9307881026166723
Diversos,202603,0.06,1.0045437351013908
Diversos,202604,0.06,1.0186028324694734
Diversos,202605,0.055,1.063463230949873
Incendio,202602,0.045,1.0380265160858528
Incendio,202603,0.05,1.0066515243712864
Incendio,202604,0.055,0.9585328731455086
Incendio,202605,0.05,1.0087552862675568
MyT,202602,0.03,1.0186095399123565
MyT,202603,0.03,0.9966510567267471
MyT,202604,0.03,0.9956327131119138
MyT,202605,0.03,1.0009675747950282
RC,202602,0.095,1.101177904957746
RC,202603,0.115,0.9382805742498169
RC,202604,0.11,0.9706229778001529
RC,202605,0.105,1.0113505356709003
Vida,202602,0.035,1.1828580235806674
Vida,202603,0.055,0.9843419077683535
Vida,202604,0.06,0.9532221087013952
Vida,202605,0.065,0.9376343911320617
