,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71
CARTERA,0.9286413501411822,0.84412637069529,0.7583960400073353,0.6746631394372118,0.5925417302068565,0.5122063338249276,0.4314441849925793,0.35193980246738205,0.2725710402105464,0.19562533461903425,0.12129862248603468,0.046610416321737354,0.031597298021707514,0.027350606779686135,0.023709605873122628,0.02077531337316504,0.018045197790877116,0.015869256541395958,0.014118612648751735,0.012583763830773595,0.011202869196930353,0.009819835574263655,0.008494707801573818,0.007156712232558486,0.0067031902657598225,0.006257537487925849,0.005826380901145696,0.005389975044884466,0.00495677722299509,0.0045613462131192375,0.004163329713634374,0.0037783708453250422,0.0033887930195037413,0.0030075849871881877,0.002652388955061336,0.002272689049202441,0.0021644160553613936,0.0020876258022717743,0.0020119395468628093,0.0019384298653240804,0.0018651072782709882,0.0017929066356030536,0.0017228646779864948,0.0016526877164117566,0.0015862727309821057,0.0015215869449066925,0.0014576579803525006,0.0013938408242175314,0.0013336237380081628,0.0012759159563219308,0.0012179207927815298,0.00116093619582463,0.0011038095903435025,0.001046917619590587,0.000989888914135192,0.0009322330776091827,0.0008760697326277161,0.0008194176440925984,0.000763540661337466,0.0007074371906615281,0.0006613215138690415,0.0006390083980085104,0.0006164732109790854,0.000594194848536691,0.0005721679734813236,0.0005506711298190265,0.0005292758187266725,0.0005082987886270842,0.00048778323745317126,0.0004682321998031291,0.0004492676617597207,0.0004309601417326768
10,0.9364827305788269,0.8686498328633622,0.7995295022374918,0.7270944188535998,0.6543453306120168,0.5826252601886965,0.5107007026911622,0.43964877464419533,0.3712931922689822,0.3031700801984852,0.2376384828373462,0.1711520178093526,0.15676613619841134,0.14587327397035077,0.13499241840150444,0.124614205768257,0.1141660937878588,0.10387989883395987,0.09366700522350774,0.08339994230515575,0.07325041785937832,0.06287556238990033,0.05288689367023528,0.04283860853315178,0.039252264399630345,0.035570832098634916,0.031987401680567844,0.02830597641862732,0.024614698657213014,0.02131766433259912,0.01791525269555271,0.014618338768633592,0.011239228786342792,0.007859952282029927,0.004783178010099733,0.001404012223756512,0.001352398214291381,0.0013281051560414155,0.0013039991772221457,0.001279868838260873,0.001255620249394094,0.0012314639014768564,0.0012072230353732767,0.001183129057660091,0.0011589614418009136,0.0011347494609144214,0.0011108816610631773,0.0010868033487978015,0.001063357180550724,0.0010402752798466498,0.0010173579584338893,0.0009944176920876763,0.0009713845324734207,0.0009484389899896462,0.0009255062392461073,0.0009027626726948626,0.000879965871004764,0.0008571335680395061,0.0008344993123522995,0.0008116236442348723,0.0007907168390418521,0.0007718020104085446,0.0007529875836893389,0.0007342004638971844,0.000715315573866866,0.0006964895638137269,0.0006776417982321808,0.000658898105890808,0.0006400685225997586,0.0006211807032490902,0.0006025301019165359,0.0005836515755941528
30,0.9064540830018744,0.8117318315019011,0.7144981243669689,0.6262095208647779,0.5378396069884498,0.45002520126185497,0.3664430430132986,0.28667649145073004,0.2058933629865604,0.13865321553322485,0.07195790574100112,0.004934757548434747,0.0030197888999983153,0.0017206989400731566,0.0013183541213188433,0.0009825569342779058,0.0006398114127299651,0.0003063862654823382,5.022283167312287e-06,4.478561742720623e-06,3.974443443883942e-06,3.430722019292278e-06,2.904539995493894e-06,2.3608185709022304e-06,2.0298626964766843e-06,1.6878749595702862e-06,1.3458872226638885e-06,1.0149313482383422e-06,6.729436113319442e-07,3.419877369063979e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.9286284427997429,0.8402060782308638,0.7519228582386862,0.6691155825939942,0.5863986650390126,0.5047729461958018,0.42279240719356553,0.34185280390124057,0.261471137999873,0.182661063117522,0.10527212224879136,0.02832793003464928,0.005293579604531107,0.003623512821388703,0.002890637180517796,0.0024361202983157544,0.001977751771353553,0.0015288659139041769,0.0013139422442382995,0.0011673391832426338,0.001025355828345638,0.0008789086591906747,0.000737081822343808,0.0005906346531888447,0.0005689637944828975,0.0005519798006177364,0.0005344296736237365,0.0005174456797585753,0.0004998955527645755,0.0004823454257705757,0.000466493698163092,0.0004489435711690922,0.00043195957730393105,0.00041440945030993135,0.0003974254564447702,0.0003798753294507704,0.0003623252024567705,0.0003453412085916094,0.00032779108159760955,0.0003108070877324485,0.00029325696073844863,0.00027570683374444877,0.0002598551061369651,0.00024230497914296526,0.00022532098527780416,0.00020777085828380432,0.00019078686441864322,0.00017323673742464338,0.0001556866104306436,0.00013870261656548247,0.00012115248957148263,0.00010416849570632153,8.661836871232169e-05,6.906824171832188e-05,5.265038098199946e-05,3.5100253987999645e-05,1.8116260122838526e-05,5.661331288387039e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.92185605728106,0.8414718439204185,0.7567849054242289,0.6747356182588236,0.5930333230295856,0.5137552162612915,0.4329676574652167,0.35284752131210484,0.2725723757629806,0.19162180450704608,0.11180187181141407,0.030783772481742255,0.023948447363429343,0.021091903377027345,0.018909797692636152,0.01686897038679929,0.015132839735429764,0.013373078173693079,0.01174142801044102,0.010110195959383783,0.00975144660817022,0.009400225737334653,0.009042605565692238,0.008682465449475357,0.008358323474933002,0.008031703329593382,0.007708742467623704,0.007378598646897781,0.007046692988478706,0.006743383557100978,0.006411477898681903,0.006088517036712226,0.005758373215986302,0.005435412354016626,0.005105268533290702,0.004773362874871626,0.00445040201290195,0.0044010705574936936,0.004346453589005982,0.004293598458211421,0.00423898148972371,0.0041861263589291495,0.004131509390441437,0.004076892421953726,0.004024037291159166,0.003969420322671453,0.003916565191876894,0.0038619482233891813,0.0038073312549014695,0.003757999799493214,0.0037033828310055017,0.0036505277002109415,0.0035959107317232297,0.0035430556009286695,0.0034884386324409576,0.0034338216639532458,0.0033809665331586856,0.0033263495646709738,0.003273494433876414,0.0032188774653887017,0.0031642604969009903,0.0031131672037995823,0.0030585502353118704,0.00300569510451731,0.002951078136029598,0.0028982230052350386,0.0028436060367473264,0.0027889890682596145,0.0027361339374650548,0.0026815169689773425,0.0026286618381827823,0.0025740448696950705
60,0.9312511107174594,0.8424593932510992,0.7530967118353408,0.6674630904706371,0.5848176070519551,0.5046771507302259,0.4237766020535612,0.34415619927499447,0.2645717991723135,0.18843589482445602,0.11598937405926148,0.04291515658234748,0.02370935949462799,0.01921918704040111,0.015048550175325068,0.011751737432862064,0.008731363563488685,0.00693006736932169,0.00578946602647756,0.005098587895055999,0.004430768992096496,0.0037709881883024577,0.003148017604661393,0.0024949751259677002,0.0024084987635039816,0.002330567743034611,0.0022523145960053744,0.0021764918088452117,0.0020984411872674888,0.0020226184001073265,0.0019451959787939468,0.001867755520951043,0.0017967118341431845,0.001720240607302451,0.0016465552200402255,0.0015705892477026798,0.0015067852499711406,0.0014410485836699807,0.0013755789779040962,0.0013119606904827398,0.0012464203211980042,0.0011828394905858558,0.0011172991213011204,0.0010516801508617202,0.0009946122356986812,0.000931429901053888,0.000870285706236346,0.0008071033715915528,0.0007459591767740109,0.0006827768421292176,0.0006195945074844243,0.0005584503126668825,0.0004952679780220892,0.0004341237832045473,0.000370941448559754,0.0003077591139149608,0.0002486530589246703,0.000185470724279877,0.00012432652946233516,6.114419481754188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.9292060203669886,0.8431449920967072,0.7565238682517601,0.6701881093010177,0.5863241284524401,0.5047297813781817,0.4224509730379556,0.3417262775020095,0.26061113738395075,0.18285554968181617,0.10826554020355023,0.03311833003627167,0.018029253597370114,0.014478034376064817,0.011270718251236185,0.008729938660335234,0.00635415456246049,0.004667437444276716,0.0036479275834792038,0.0029004980198923595,0.0021736372830154166,0.0014329973523270773,0.0007319871264200527,-6.382430744512715e-07,1.1020134930013963e-07,1.0241947725388831e-07,9.488863333816122e-08,8.710676129190991e-08,7.957591737618283e-08,7.179404532993151e-08,6.40121732836802e-08,5.6481329367953114e-08,4.869945732170179e-08,4.1168613405974714e-08,3.33867413597234e-08,2.560486931347208e-08,1.857608165879347e-08,1.079420961254215e-08,3.2633656968150692e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.9267670722721729,0.8419265649681367,0.7550876131002545,0.6689277494031532,0.5817150549931441,0.4959727873594547,0.41126754596910003,0.32612283284053417,0.24247841549398247,0.1612501271933912,0.0879468418341729,0.01341619978682702,0.0044437836008466396,0.0027150481491797487,0.001591849415067635,0.0011897460618372525,0.0009854165464471894,0.0009589916414343586,0.0009327793931253176,0.0009060293643879727,0.0008796044593751421,0.0008533922110661009,0.00082696730605327,0.000800755057744229,0.000784083864466814,0.0007674126711893989,0.0007523548191968949,0.0007356836259194797,0.0007195502130703682,0.0007028790197929531,0.0006867456069438418,0.0006700744136664267,0.0006534032203890115,0.0006372698075399002,0.000620598614262485,0.0006044652014133736,0.0005877940081359585,0.0005711228148585434,0.0005555271824377357,0.0005388559891603206,0.0005227225763112092,0.0005060513830337942,0.0004899179701846828,0.00047324677690726766,0.0004565755836298525,0.00044044217078074115,0.000423770977503326,0.0004076375646542146,0.0003909663713767995,0.0003742951780993844,0.0003592373261068804,0.00034256613282946535,0.0003264327199803539,0.00030976152670293884,0.0002936281138538274,0.00027695692057641227,0.0002602857272989972,0.0002441523144498858,0.0002274811211724707,0.00021134770832335927,0.0001946765150459442,0.00017800532176852907,0.0001629474697760251,0.00014627627649860998,0.0001301428636494986,0.00011347167037208349,9.73382575229721e-05,8.066706424555699e-05,6.399587096814187e-05,4.7862458119030473e-05,3.119126484161537e-05,1.505785199250397e-05
90,0.9212023180028374,0.8386486270748839,0.755808544367574,0.6734760678121736,0.5909281134391885,0.5083808440002878,0.42466294705323127,0.3441896445631019,0.261238385718883,0.17917248052000123,0.09767064392978403,0.01663966861326395,0.010961935012804047,0.008225992727466037,0.006891338144056154,0.00623983486938821,0.005635237166739547,0.005049575203131077,0.00456774112829205,0.004131891407043651,0.0036494793602250206,0.003275779085508728,0.0028896221349685594,0.002515921860252267,0.0022171825447831104,0.0019184432293139534,0.0016293406659567047,0.0013306013504875477,0.0010414987871302992,0.0007427594716611423,0.0004897315197765773,0.00025302795188456495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.9261942518393198,0.8433692627776307,0.759357564749779,0.6744851733921831,0.5952276387111929,0.5103577555318848,0.4283214831493812,0.3462117764175052,0.2641459516425421,0.18094890952711498,0.09705470309254466,0.015693567171588537,4.858876003484628e-05,2.680225738239176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
